Unnamed: 0,Molecule Name,SMILES,Mean activity (%),Standard Deviation
264,PCM-0223530,FC(F)(F)c1ccc(N2CCCC2)c(NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)c1,75.2,0.2
266,PCM-0223529,Oc1c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)ccc6ccccc16,27.5,1.6
268,PCM-0223528,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(cc3)n4ccnc4)Cc2c1)C(=O)Nc5cncc6ccccc56,19.4,0.3
270,PCM-0223527,CN(Cc1ccccc1Br)C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,59.5,4.9
272,PCM-0223526,Clc1ccc2[C@@H](CN(CC(=O)Nc3c(Cl)cncc3Cl)Cc2c1)C(=O)Nc4cncc5ccccc45,83.1,0.1
274,PCM-0223525,Clc1ccc2[C@@H](CN(CC(=O)NCc3ccccc3)Cc2c1)C(=O)Nc4cncc5ccccc45,9.5,0.4
276,PCM-0223524,CCOc1ccc(CNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1,15.8,0.1
278,PCM-0223523,COc1cc(CNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc(OC)c1,9.5,0.1
280,PCM-0223522,C[C@H]1CN(CCN1C(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)C(=O)OC(C)(C)C,64.6,0.1
282,PCM-0223521,Clc1ccc2[C@@H](CN(CC(=O)NC3CCN(Cc4ccccc4)CC3)Cc2c1)C(=O)Nc5cncc6ccccc56,23.8,0.1
284,PCM-0223520,Cc1cnc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(c1)[N+](=O)[O-],81.7,0.3
286,PCM-0223519,NC(=O)c1ccc(Cl)c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1,40.8,0.6
288,PCM-0223518,Clc1ccc2[C@@H](CN(CC(=O)Nc3ncccc3OCc4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,78.9,0.2
290,PCM-0223517,Cc1cc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc(C)c1Br,85.9,2.1
292,PCM-0223516,[O-][N+](=O)c1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(c1)C(F)(F)F,83.0,1.2
294,PCM-0223515,COc1ncc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1Br,54.8,1.0
296,PCM-0223514,Clc1ccc2[C@@H](CN(CC(=O)Nc3cnc(Br)cn3)Cc2c1)C(=O)Nc4cncc5ccccc45,86.5,1.5
298,PCM-0223513,[O-][N+](=O)c1ccc(cc1)n2ncc(C#N)c2NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,83.5,1.2
300,PCM-0223512,FC(F)(F)c1cccnc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,85.0,0.3
302,PCM-0223511,Cc1cccc(C)c1NC(=O)CN2CCN(CC2)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,65.5,12.1
304,PCM-0223510,Cc1cc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cnc1Br,82.2,0.6
306,PCM-0223509,FC(F)(F)c1cccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)n1,83.8,0.7
308,PCM-0223508,CC(C)(C)c1cc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)n(n1)c6ccccc6,84.5,1.4
310,PCM-0223507,COc1cc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)ccc1Br,67.1,0.9
312,PCM-0223506,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(cc3)n4cccn4)Cc2c1)C(=O)Nc5cncc6ccccc56,19.7,0.3
